wrangled_loan_table_unscaled
Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,1,1,1,0,4583.0,4583.0,128.0,360.0,1.0,1,0
0,1,0,1,1,3000.0,3000.0,66.0,360.0,1.0,2,1
0,1,0,0,0,2583.0,2583.0,120.0,360.0,1.0,2,1
0,0,0,1,0,6000.0,6000.0,141.0,360.0,1.0,2,1
0,1,2,1,1,5417.0,5417.0,267.0,360.0,1.0,2,1
0,1,0,0,0,2333.0,2333.0,95.0,360.0,1.0,2,1
0,1,3,1,0,3036.0,3036.0,158.0,360.0,0.0,0,0
0,1,2,1,0,4006.0,4006.0,168.0,360.0,1.0,2,1
0,1,1,1,0,12841.0,12841.0,349.0,360.0,1.0,0,0
0,1,2,1,0,3200.0,3200.0,70.0,360.0,1.0,2,1
0,1,2,1,0,3073.0,3073.0,200.0,360.0,1.0,2,1
0,0,0,1,0,1853.0,1853.0,114.0,360.0,1.0,1,0
0,1,2,1,0,1299.0,1299.0,17.0,120.0,1.0,2,1
0,0,0,1,0,4950.0,4950.0,125.0,360.0,1.0,2,1
1,0,0,1,0,3510.0,3510.0,76.0,360.0,0.0,2,0
0,1,0,0,0,4887.0,4887.0,133.0,360.0,1.0,1,0
0,1,0,0,0,7660.0,7660.0,104.0,360.0,0.0,2,0
0,1,1,1,0,5955.0,5955.0,315.0,360.0,1.0,2,1
0,1,0,0,0,2600.0,2600.0,116.0,360.0,0.0,0,0
0,1,0,1,1,9560.0,9560.0,191.0,360.0,1.0,0,1
0,1,0,1,0,2799.0,2799.0,122.0,360.0,1.0,0,1
0,1,2,0,0,4226.0,4226.0,110.0,360.0,1.0,2,1
0,0,0,0,0,1442.0,1442.0,35.0,360.0,1.0,2,0
0,0,0,1,0,3167.0,3167.0,74.0,360.0,1.0,2,0
0,0,1,1,1,4692.0,4692.0,106.0,360.0,1.0,1,0
0,1,0,1,0,3500.0,3500.0,114.0,360.0,1.0,0,1
0,0,3,1,0,12500.0,12500.0,320.0,360.0,1.0,1,0
1,1,0,1,0,3667.0,3667.0,144.0,360.0,1.0,0,1
0,0,0,1,0,4166.0,4166.0,184.0,360.0,1.0,2,1
0,0,0,0,0,3748.0,3748.0,110.0,360.0,1.0,0,1
0,0,0,1,0,3600.0,3600.0,80.0,360.0,1.0,2,0
0,0,0,1,0,1800.0,1800.0,47.0,360.0,1.0,2,1
0,1,0,1,0,3941.0,3941.0,134.0,360.0,1.0,0,1
0,1,1,1,0,5649.0,5649.0,44.0,360.0,1.0,2,1
0,1,0,1,0,5821.0,5821.0,144.0,360.0,1.0,2,1
1,1,0,1,0,2645.0,2645.0,120.0,360.0,0.0,2,0
1,0,0,1,0,4000.0,4000.0,144.0,360.0,1.0,0,1
1,1,0,0,0,1928.0,1928.0,100.0,360.0,1.0,0,1
1,0,0,1,0,3086.0,3086.0,120.0,360.0,1.0,0,1
1,0,0,1,0,4230.0,4230.0,112.0,360.0,1.0,0,0
0,1,2,1,0,4616.0,4616.0,134.0,360.0,1.0,2,0
1,1,1,1,1,11500.0,11500.0,286.0,360.0,0.0,2,0
0,1,2,1,0,2708.0,2708.0,97.0,360.0,1.0,0,1
0,1,0,1,0,2132.0,2132.0,96.0,360.0,1.0,0,1
0,1,0,1,0,3366.0,3366.0,135.0,360.0,1.0,1,0
0,1,1,1,0,8080.0,8080.0,180.0,360.0,1.0,2,1
0,1,2,0,0,3357.0,3357.0,144.0,360.0,1.0,2,1
0,1,0,1,0,2500.0,2500.0,120.0,360.0,1.0,2,1
0,1,3,1,0,3029.0,3029.0,99.0,360.0,1.0,2,1
0,1,0,0,1,2609.0,2609.0,165.0,180.0,0.0,1,0
1,0,0,1,0,4166.0,4166.0,116.0,360.0,0.0,0,0
0,1,0,1,0,5726.0,5726.0,258.0,360.0,1.0,0,0
0,0,0,0,0,3200.0,3200.0,126.0,180.0,0.0,2,0
0,1,1,1,0,10750.0,10750.0,312.0,360.0,1.0,2,1
0,1,3,0,1,7100.0,7100.0,125.0,60.0,1.0,2,1
1,0,0,1,0,4300.0,4300.0,136.0,360.0,0.0,0,0
0,1,0,1,0,3208.0,3208.0,172.0,360.0,1.0,2,1
0,1,2,0,1,1875.0,1875.0,97.0,360.0,1.0,0,1
0,0,0,1,0,3500.0,3500.0,81.0,300.0,1.0,0,1
0,1,3,1,1,5266.0,5266.0,187.0,360.0,1.0,0,1
0,0,0,1,0,3750.0,3750.0,113.0,480.0,1.0,2,0
0,0,0,1,0,3750.0,3750.0,176.0,360.0,1.0,2,0
0,1,1,1,1,1000.0,1000.0,110.0,360.0,1.0,2,0
0,1,3,1,0,3167.0,3167.0,180.0,300.0,0.0,0,0
1,0,0,1,0,3846.0,3846.0,111.0,360.0,1.0,0,1
1,1,2,1,0,1378.0,1378.0,167.0,360.0,1.0,2,0
0,1,1,1,0,3988.0,3988.0,50.0,240.0,1.0,2,1
0,0,0,1,0,2366.0,2366.0,136.0,360.0,1.0,0,1
0,1,0,1,0,2500.0,2500.0,104.0,360.0,1.0,0,1
0,0,0,1,0,8566.0,8566.0,210.0,360.0,1.0,2,1
0,1,0,1,0,5695.0,5695.0,175.0,360.0,1.0,0,1
0,1,0,1,0,2958.0,2958.0,131.0,360.0,1.0,0,1
0,1,2,1,0,6250.0,6250.0,188.0,180.0,1.0,0,1
0,1,2,0,0,3273.0,3273.0,81.0,360.0,1.0,2,1
